"","state","County"
"736","OH",39085
"737","OH",39087
"738","OH",39089
"739","OH",39091
"740","OH",39093
"741","OH",39095
"742","OH",39097
"743","OH",39099
"744","OH",39101
"745","OH",39103
"746","OH",39105
"747","OH",39107
"748","OH",39109
"749","OH",39111
"750","OH",39113
"751","OH",39115
"752","OH",39117
"753","OH",39119
"754","OH",39121
"755","OH",39123
"756","OH",39125
"757","OH",39127
"758","OH",39129
"759","OH",39131
"760","OH",39133
"761","OH",39135
"762","OH",39137
"763","OH",39139
"764","OH",39141
"765","OH",39143
"766","OH",39145
"767","OH",39147
"768","OH",39149
"769","OH",39151
"770","OH",39153
"771","OH",39155
"772","OH",39157
"773","OH",39159
"774","OH",39161
"775","OH",39163
"776","OH",39165
"777","OH",39167
"778","OH",39169
"779","OH",39171
"780","OH",39173
"781","OH",39175
"782","SD",46003
"783","SD",46005
"784","SD",46007
"785","SD",46009
"786","SD",46011
"787","SD",46013
"788","SD",46015
"789","SD",46017
"790","SD",46019
"791","SD",46021
"792","SD",46023
"793","SD",46025
"794","SD",46027
"795","SD",46029
"796","SD",46031
"797","SD",46033
"798","SD",46035
"799","SD",46037
"800","SD",46039
"801","SD",46041
"802","SD",46043
"803","SD",46045
"804","SD",46047
"805","SD",46049
"806","SD",46051
"807","SD",46053
"808","SD",46055
"809","SD",46057
"810","SD",46059
"811","SD",46061
"812","SD",46063
"813","SD",46065
"814","SD",46067
"815","SD",46069
"816","SD",46071
"817","SD",46073
"818","SD",46075
"819","SD",46077
"820","SD",46079
"821","SD",46081
"822","SD",46083
"823","SD",46085
"824","SD",46087
"825","SD",46089
"826","SD",46091
"827","SD",46093
"828","SD",46095
"829","SD",46097
"830","SD",46099
"831","SD",46101
"832","SD",46103
"833","SD",46105
"834","SD",46107
"835","SD",46109
"836","SD",46111
"837","SD",46113
"838","SD",46115
"839","SD",46117
"840","SD",46119
"841","SD",46121
"842","SD",46123
"843","SD",46125
"844","SD",46127
"845","SD",46129
"846","SD",46135
"847","SD",46137
